userID,Duration,Page,Order,Language,TaskPage,Answer
3545,17.40000000000009,2,0,Chinese,1,0
3545,2.599999999999909,2,0,Chinese,3,0
3545,0.5,2,0,Chinese,5,0
3545,1.6000000000003638,4,4,Chinese,2,0
3545,1.2000000000002728,6,2,Chinese,1,0
3545,1.400000000000091,6,2,Chinese,2,0
3545,0.6999999999998181,7,0,Chinese,1,0
3545,2.100000000000364,7,0,Chinese,2,0
3545,0.8999999999996362,7,0,Chinese,3,0
3545,10.300000000000182,7,0,Chinese,5,0
3545,0.900000000000091,7,0,Chinese,4,0
3545,5.700000000000273,8,3,Chinese,3,0
3545,3.200000000000273,9,4,Chinese,2,0
3545,0.599999999999909,11,2,Chinese,1,0
3545,0.5,11,2,Chinese,2,0
3545,0.8999999999996362,12,0,Chinese,1,0
3545,14.700000000000273,12,0,Chinese,2,0
3545,1.2999999999997272,12,0,Chinese,5,0
3545,0.6999999999998181,13,3,Chinese,3,0
3545,4.300000000000182,13,3,Chinese,4,0
3545,0.599999999999909,13,3,Chinese,5,0
3545,1.0,14,4,Chinese,2,0
3545,2.0,14,4,Chinese,4,0
3545,0.8999999999996362,16,2,Chinese,1,0
3545,14.700000000000273,16,2,Chinese,2,0
3545,8.199999999999818,17,0,Chinese,2,0
3545,6.300000000000182,18,3,Chinese,3,0
3545,0.900000000000091,18,3,Chinese,4,0
3545,6.0,18,3,Chinese,5,0
3545,2.700000000000273,19,4,Chinese,2,0
3545,3.0,19,4,Chinese,4,0
3545,4.300000000000182,21,2,Chinese,1,0
3545,10.0,22,0,Chinese,1,0
3545,0.5,22,0,Chinese,2,0
3545,1.7000000000002728,22,0,Chinese,3,0
3545,1.2000000000002728,22,0,Chinese,5,0
3545,1.199999999999818,23,3,Chinese,3,0
3545,2.0,23,3,Chinese,5,0
3545,5.0,24,4,Chinese,2,0
3545,5.099999999999909,24,4,Chinese,4,0
3545,13.0,26,2,Chinese,1,0
3545,0.8999999999996362,27,0,Chinese,3,0
3545,2.799999999999727,27,0,Chinese,5,0
3545,3.6999999999999993,28,3,Chinese,3,0
3545,2.0,29,4,Chinese,4,0
132,1.2000000000000455,1,4,Chinese,2,0
132,1.3999999999998636,1,4,Chinese,4,0
132,1.599999999999909,2,2,Chinese,1,0
132,5.7999999999999545,2,2,Chinese,2,0
132,0.2999999999999545,3,0,Chinese,1,0
132,2.5,5,3,Chinese,4,0
132,0.900000000000091,6,4,Chinese,4,0
132,1.0,8,0,Chinese,2,0
132,1.300000000000182,8,0,Chinese,5,0
132,2.0,10,3,Chinese,3,0
132,6.899999999999864,10,3,Chinese,5,0
132,0.900000000000091,12,2,Chinese,1,0
132,7.900000000000091,13,0,Chinese,1,0
132,3.2999999999999545,13,0,Chinese,3,0
132,2.300000000000182,13,0,Chinese,5,0
132,1.3999999999998636,16,4,Chinese,2,0
132,1.2000000000000455,18,0,Chinese,2,0
132,2.3999999999998636,18,0,Chinese,3,0
132,1.7999999999999545,18,0,Chinese,5,0
132,2.3999999999998636,21,4,Chinese,2,0
132,1.099999999999909,22,2,Chinese,1,0
132,0.900000000000091,22,2,Chinese,2,0
132,1.5,23,0,Chinese,1,0
132,2.299999999999727,23,0,Chinese,3,0
132,4.400000000000091,23,0,Chinese,4,0
132,1.300000000000182,23,0,Chinese,5,0
132,4.300000000000182,25,3,Chinese,3,0
132,0.599999999999909,25,3,Chinese,5,0
132,0.900000000000091,26,4,Chinese,2,0
