userID,Duration,Page,Order,Language,TaskPage
3545,4.899999999999636,1,2,Chinese,2
3545,0.599999999999909,1,2,English,5
3545,5.099999999999909,2,0,Chinese,2
3545,2.599999999999909,2,0,Chinese,3
3545,7.400000000000091,2,0,Chinese,4
3545,0.5,2,0,Chinese,5
3545,2.099999999999909,3,3,English,1
3545,0.6999999999998181,3,3,Chinese,5
3545,9.299999999999727,4,4,English,1
3545,1.6000000000003638,4,4,Chinese,2
3545,1.099999999999909,4,4,Chinese,4
3545,1.699999999999818,5,1,English,1
3545,1.1000000000003638,5,1,English,2
3545,4.299999999999727,5,1,English,3
3545,1.2000000000002728,6,2,Chinese,1
3545,1.400000000000091,6,2,Chinese,2
3545,1.199999999999818,6,2,English,3
3545,2.300000000000182,6,2,English,4
3545,1.599999999999909,6,2,English,5
3545,0.6999999999998181,7,0,Chinese,1
3545,2.100000000000364,7,0,Chinese,2
3545,0.8999999999996362,7,0,Chinese,3
3545,0.900000000000091,7,0,Chinese,4
3545,1.699999999999818,8,3,English,2
3545,5.700000000000273,8,3,Chinese,3
3545,4.400000000000091,8,3,Chinese,4
3545,7.199999999999818,8,3,Chinese,5
3545,3.200000000000273,9,4,Chinese,2
3545,2.099999999999909,9,4,Chinese,4
3545,7.400000000000091,9,4,English,5
3545,5.400000000000091,10,1,English,2
3545,5.799999999999727,10,1,English,3
3545,6.199999999999818,10,1,English,5
3545,0.599999999999909,11,2,Chinese,1
3545,0.5,11,2,Chinese,2
3545,2.5,11,2,English,3
3545,0.5,11,2,English,4
3545,0.8999999999996362,12,0,Chinese,1
3545,5.299999999999727,12,0,Chinese,3
3545,2.600000000000364,12,0,Chinese,4
3545,1.2999999999997272,12,0,Chinese,5
3545,1.2999999999997272,13,3,English,1
3545,0.8000000000001819,13,3,English,2
3545,0.6999999999998181,13,3,Chinese,3
3545,4.300000000000182,13,3,Chinese,4
3545,0.599999999999909,13,3,Chinese,5
3545,4.599999999999909,14,4,English,1
3545,1.0,14,4,Chinese,2
3545,4.699999999999818,14,4,English,3
3545,2.0,14,4,Chinese,4
3545,8.5,14,4,English,5
3545,2.599999999999909,15,1,English,1
3545,0.8000000000001819,15,1,English,2
3545,0.900000000000091,15,1,English,3
3545,8.5,15,1,English,4
3545,9.5,15,1,English,5
3545,0.8999999999996362,16,2,Chinese,1
3545,1.0,16,2,English,3
3545,2.699999999999818,16,2,English,4
3545,2.200000000000273,16,2,English,5
3545,8.199999999999818,17,0,Chinese,2
3545,0.7000000000002728,17,0,Chinese,3
3545,6.699999999999818,17,0,Chinese,4
3545,0.599999999999909,17,0,Chinese,5
3545,0.6000000000003638,18,3,English,1
3545,1.3999999999996362,18,3,English,2
3545,6.300000000000182,18,3,Chinese,3
3545,0.900000000000091,18,3,Chinese,4
3545,6.0,18,3,Chinese,5
3545,2.700000000000273,19,4,Chinese,2
3545,3.0,19,4,Chinese,4
3545,2.400000000000091,19,4,English,5
3545,1.0,20,1,English,1
3545,4.600000000000364,20,1,English,2
3545,2.199999999999818,20,1,English,3
3545,1.199999999999818,20,1,English,4
3545,0.900000000000091,20,1,English,5
3545,4.300000000000182,21,2,Chinese,1
3545,4.699999999999818,21,2,Chinese,2
3545,3.400000000000091,21,2,English,3
3545,2.800000000000182,21,2,English,4
3545,4.599999999999909,21,2,English,5
3545,0.5,22,0,Chinese,2
3545,1.7000000000002728,22,0,Chinese,3
3545,5.199999999999818,22,0,Chinese,4
3545,1.2000000000002728,22,0,Chinese,5
3545,0.6999999999998181,23,3,English,1
3545,4.300000000000182,23,3,English,2
3545,1.199999999999818,23,3,Chinese,3
3545,2.0,23,3,Chinese,4
3545,2.0,23,3,Chinese,5
3545,1.5,24,4,English,1
3545,5.0,24,4,Chinese,2
3545,0.6000000000003638,24,4,English,3
3545,5.099999999999909,24,4,Chinese,4
3545,1.7999999999997272,24,4,English,5
3545,6.700000000000273,25,1,English,2
3545,2.599999999999909,25,1,English,3
3545,1.699999999999818,25,1,English,4
3545,0.8000000000001819,25,1,English,5
3545,1.900000000000091,26,2,Chinese,2
3545,9.5,26,2,English,3
3545,0.5,26,2,English,5
3545,0.599999999999909,27,0,Chinese,1
