ID,qID,Rank,URL,Title,Snippet,Language
1,1,0,https://www.vitonica.com/lesiones/mi-raton-es-un-suplicio-necesito-alternativas,"Mi ratón es un suplicio: necesito alternativas - vitonica.com","Si cada vez que te sientas en el ordenador te ... El Síndrome del Túnel Carpiano o RSI ... como síndrome del ratón o mal del oficinista y es debido ...",Spanish
2,1,1,https://chipvida.com/raton-ordenador-pc/ergonomicos/,"Mejores Ratones Ergonómicos para PC en 2019 - Chipvida","Protéjase de la ""enfermedad del ratón"" y del codo de tenista (síndrome RSI) ... Los ratones de ordenador tipo joystick con un diseño más radical que requieren de ...",Spanish
3,1,2,https://www.amazon.es/ratones/b?ie=UTF8&node=937890031,"Ratones | Amazon.es","Compras en línea de Ratones - Teclados, ratones y ... Prevención de codo de tenista/enfermedad del ratón (síndrome RSI ... ratón ergonómico para Ordenador, ...",Spanish
4,1,3,https://www.natursan.net/como-evitar-sindrome-del-tunel-carpiano-si-trabajas-con-el-ordenador/,"Cómo evitar el síndrome del túnel carpiano si trabajas con ...","El síndrome del túnel carpiano es muy común si trabajas habitualmente con el ordenador por una mala colocación de la muñeca y un mal uso del ratón y el teclado.",Spanish
5,1,4,https://www.amazon.es/raton-vertical/s?k=raton+vertical,"Amazon.es: raton vertical","Ratones; Teclados, ratones y periféricos ... Prevención de codo de tenista/enfermedad del ratón (síndrome RSI), ... 6 Botones USB del Ordenador ratón con 4 ...",Spanish
6,1,5,https://www.taringa.net/+info/tenes-tendinitis-por-uso-del-mouse-te-doy-una-ayuda_i2zb0,"Tenes tendinitis por uso del Mouse? Te doy una ayuda ...","Si pasas mucho tiempo en la pc y tenes ... de ordenador padecen dolencias típicas MAS (Mouse Arm Syndrome – Síndrome del Ratón), por ejemplo RSI ...",Spanish
7,1,6,http://elsindromedelamochila.com/coaching/como-prevenir-el-dolor-provocado-por-el-ordenador-y-el-movil/,"Como prevenir el dolor provocado por el ordenador y el movil","... al otro el cuello de pasar tantas horas delante del ordenador y con el movíl, ... (RSI), en español sería ... muchos clicks del ratón y arrastrar esto allí y ...",Spanish
8,1,7,https://www.serzurdo.com/mouse/,"MOUSE PARA ZURDOS】 OFERTAS 2019 | Ⓛ SerZurdo.com","Pues entra en nuestra tienda para zurdos y lo comprobarás de ... Un ratón de ordenador bien adaptado al trabajo ... o la Enfermedad del ratón (síndrome RSI). ...",Spanish
9,1,8,http://cgrict.com/docs/El_sindrome_del_raton.pdf,"El síndrome de ratón - CGRICT","El Síndrome del Ratón es una dolencia derivada del uso excesivo del ratón, debida ... es el medio para utilizar y comunicarse con el ordenador.",Spanish
10,1,9,https://cincodias.elpais.com/cincodias/2007/04/12/sentidos/1176344839_850215.html,"Síndrome del ratón, una lesión preocupante | Sentidos ...","Miles de profesionales son atacados en todo el mundo por el ratón de su ordenador. Y no es broma. El dispositivo causa más de 200.000 bajas laborales por ...",Spanish
11,1,10,https://es.wikipedia.org/wiki/Raton_de_ordenador,"Ratón (informática) - Wikipedia, la enciclopedia libre","Cuando se patentó recibió el nombre X-Y Position Indicator for a Display System (Indicador de Posición X-Y para un Sistema con Pantalla); el nombre ratón (mouse ...",Spanish
12,1,11,https://esenziale.com/tecnologia/mejores-ratones-ergonomicos/,"Mejores Ratones Ergonómicos. Por tipo de Persona y Agarre","Swiftpoint es también un gran producto para evitar el síndrome del túnel carpiano y para prevenir ... y un ratón para ... del ordenador, y esto ...",Spanish
13,1,12,http://www.wacom.eu/int/use-it/ergonomics/download/Ergonomics_report_es.pdf,"Prevención de las lesiones por movimientos repetitivos ...","Tratar y prevenir el síndrome RSI (Repetitive Strain Injury o lesiones por movimientos ... ordenador con un ratón estándar y una tableta de lápiz Wacom.",Spanish
